Date,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2021-11-19 00:00:00,AAPL211119C00045000,2021-11-19 11:10AM EST,45.0,114.6,114.15,115.05,1.85,+1.64%,20,8,"1,128.13%"
2021-11-19 00:00:00,AAPL211119C00050000,2021-11-19 9:43AM EST,50.0,107.72,109.6,109.8,2.97,+2.84%,170,171,787.50%
2021-11-19 00:00:00,AAPL211119C00055000,2021-11-18 12:50PM EST,55.0,102.35,104.7,104.8,0.0,-,6,6,725.00%
2021-11-19 00:00:00,AAPL211119C00060000,2021-11-10 9:36AM EST,60.0,88.8,99.15,100.2,0.0,-,21,27,945.31%
2021-11-19 00:00:00,AAPL211119C00065000,2021-11-18 1:46PM EST,65.0,92.5,94.1,95.2,0.0,-,6,8,874.22%
2021-11-19 00:00:00,AAPL211119C00070000,2021-11-04 2:42PM EST,70.0,80.0,89.25,90.15,0.0,-,1,53,792.19%
2021-11-19 00:00:00,AAPL211119C00075000,2021-11-08 2:09PM EST,75.0,75.7,84.15,85.2,0.0,-,1,5,746.88%
2021-11-19 00:00:00,AAPL211119C00080000,2021-11-15 11:16AM EST,80.0,70.37,79.15,80.2,0.0,-,10,76,689.06%
2021-11-19 00:00:00,AAPL211119C00085000,2021-11-17 11:20AM EST,85.0,69.05,74.35,75.1,0.0,-,152,264,607.81%
2021-11-19 00:00:00,AAPL211119C00090000,2021-11-18 12:38PM EST,90.0,67.5,69.2,70.2,0.0,-,1,61,583.98%
2021-11-19 00:00:00,AAPL211119C00095000,2021-11-16 12:22PM EST,95.0,56.35,64.1,65.05,0.0,-,1,83,498.05%
2021-11-19 00:00:00,AAPL211119C00100000,2021-11-19 10:07AM EST,100.0,58.5,59.5,60.05,3.5,+6.36%,102,202,50.00%
2021-11-19 00:00:00,AAPL211119C00105000,2021-11-17 9:47AM EST,105.0,47.5,54.6,54.8,0.0,-,5,29,303.13%
2021-11-19 00:00:00,AAPL211119C00110000,2021-11-19 10:03AM EST,110.0,48.8,49.5,49.75,0.28,+0.58%,5,120,0.00%
2021-11-19 00:00:00,AAPL211119C00115000,2021-11-19 11:32AM EST,115.0,44.54,44.65,44.8,1.92,+4.50%,10,100,240.63%
2021-11-19 00:00:00,AAPL211119C00120000,2021-11-18 3:50PM EST,120.0,36.67,39.65,39.7,-1.78,-4.63%,40,1985,0.00%
2021-11-19 00:00:00,AAPL211119C00125000,2021-11-19 11:28AM EST,125.0,34.69,34.6,34.75,1.84,+5.60%,10,329,0.00%
2021-11-19 00:00:00,AAPL211119C00130000,2021-11-19 11:10AM EST,130.0,29.46,29.65,29.8,1.19,+4.21%,7,3381,157.81%
2021-11-19 00:00:00,AAPL211119C00132000,2021-11-18 3:49PM EST,132.0,26.6,27.6,27.75,0.0,-,5,13,0.00%
2021-11-19 00:00:00,AAPL211119C00133000,2021-11-18 2:49PM EST,133.0,24.6,26.6,26.7,0.0,-,152,153,0.00%
2021-11-19 00:00:00,AAPL211119C00134000,2021-11-19 9:31AM EST,134.0,23.15,25.6,25.75,-1.05,-4.34%,2,97,0.00%
2021-11-19 00:00:00,AAPL211119C00135000,2021-11-19 11:30AM EST,135.0,24.85,24.6,24.75,2.1,+9.23%,23,473,0.00%
2021-11-19 00:00:00,AAPL211119C00136000,2021-11-19 10:53AM EST,136.0,22.95,23.7,23.8,0.5,+2.23%,17,99,126.56%
2021-11-19 00:00:00,AAPL211119C00137000,2021-11-19 10:53AM EST,137.0,21.95,22.65,22.75,0.7,+3.29%,8,247,0.00%
2021-11-19 00:00:00,AAPL211119C00138000,2021-11-18 3:53PM EST,138.0,20.25,21.6,21.7,0.0,-,90,486,0.00%
2021-11-19 00:00:00,AAPL211119C00139000,2021-11-19 11:00AM EST,139.0,20.0,20.6,20.8,1.45,+7.82%,6,355,111.72%
2021-11-19 00:00:00,AAPL211119C00140000,2021-11-19 11:32AM EST,140.0,19.55,19.5,19.6,1.35,+7.42%,384,13076,0.00%
2021-11-19 00:00:00,AAPL211119C00141000,2021-11-19 10:34AM EST,141.0,17.64,18.55,18.7,0.79,+4.69%,1,673,0.00%
2021-11-19 00:00:00,AAPL211119C00142000,2021-11-19 11:03AM EST,142.0,17.18,17.65,17.8,1.1,+6.84%,8,679,96.88%
2021-11-19 00:00:00,AAPL211119C00143000,2021-11-19 11:16AM EST,143.0,16.94,16.5,16.65,2.05,+13.77%,209,1223,0.00%
